,2nd Iteration Candidates,TweetSentence,ambigious_candidates,ambigious_not_in_annot,annotation,candidates_with_label,completeness,current_minus_entry,entry_batch,entry_vs_tweet_seen_ratio,fn,hashtags,index,inverted_loss,number_of_seen_tweets,only_good_candidates,phase1Candidates,ratio_entry_vs_current,sentID,total_mention,tp,tweetID,user
0,"['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",['spicer'],0.0,"['carter page', 'spicer']","[('carter page', 'g'), ('spicer', 'a')]",False,3.0,2,0.0064516129032258064,1.0,nan,,1.0,310.0,['carter page'],Carter Page::*2*3*||Spicer::*5*||,0.4,0,2.0,1.0,102,yynn6001
1,"['cnn', 'spicer', 'time']",Im going to lose my mind cnn shows the spicer interview with wolf one more time.,['spicer'],0.0,"['cnn', 'spicer']","[('cnn', 'na'), ('spicer', 'a'), ('time', 'b')]",False,3.0,2,0.0064516129032258064,2.0,nan,,0.0,310.0,[],,0.4,0,2.0,0.0,105,anuj_pant6
2,"['spicer', 'carter page']",Spicer owes Carter Page...,['spicer'],0.0,"['spicer', 'carter page']","[('spicer', 'a'), ('carter page', 'g')]",False,3.0,2,0.0064516129032258064,1.0,nan,,1.0,310.0,['carter page'],Carter Page::*2*3*||,0.4,0,2.0,1.0,114,RockShrimp
42,"['spicer', 'looks']",Spicer: Oh man I should stop comparing things to historical figures this looks bad for me,['spicer'],0.0,['spicer'],"[('spicer', 'a'), ('looks', 'b')]",False,0.0,5,0.06944444444444445,1.0,nan,,0.0,72.0,[],,1.0,0,1.0,0.0,277,AJVicens
0,"['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",['spicer'],0.0,"['carter page', 'spicer']","[('carter page', 'g'), ('spicer', 'a')]",False,4.0,2,0.005291005291005291,1.0,nan,,1.0,378.0,['carter page'],Carter Page::*2*3*||Spicer::*5*||,0.3333333333333333,0,2.0,1.0,102,yynn6001
1,"['cnn', 'spicer', 'time']",Im going to lose my mind cnn shows the spicer interview with wolf one more time.,['spicer'],0.0,"['cnn', 'spicer']","[('cnn', 'b'), ('spicer', 'a'), ('time', 'b')]",False,4.0,2,0.005291005291005291,2.0,nan,,0.0,378.0,[],,0.3333333333333333,0,2.0,0.0,105,anuj_pant6
2,"['spicer', 'carter page']",Spicer owes Carter Page...,['spicer'],0.0,"['spicer', 'carter page']","[('spicer', 'a'), ('carter page', 'g')]",False,4.0,2,0.005291005291005291,1.0,nan,,1.0,378.0,['carter page'],Carter Page::*2*3*||,0.3333333333333333,0,2.0,1.0,114,RockShrimp
3,"['spicer', 'looks']",Spicer: Oh man I should stop comparing things to historical figures this looks bad for me,['spicer'],0.0,['spicer'],"[('spicer', 'a'), ('looks', 'b')]",False,1.0,5,0.03571428571428571,1.0,nan,,0.0,140.0,[],,0.8333333333333334,0,1.0,0.0,277,AJVicens
46,"['sean spicer', 'carter page', 'russian agent']","Media: ""SEAN SPICER IS AN ANTI SEMITE HOLOCAUST DENIER AND CARTER PAGE IS A RUSSIAN AGENT!!!""",['sean spicer'],0.0,"['sean spicer', 'holocaust denier', 'carter page', 'russian', 'russian agent']","[('sean spicer', 'a'), ('carter page', 'g'), ('russian agent', 'b')]",False,0.0,6,0.08823529411764706,4.0,reeee,,0.25,68.0,['carter page'],nan,1.0,1,5.0,1.0,331,atkhelo
61,"['spicer', 'hitler']","Spicer's Hitler ""analogy.""",['spicer'],0.0,"['spicer', 'hitler']","[('spicer', 'a'), ('hitler', 'na')]",False,0.0,6,0.08823529411764706,2.0,nan,,0.0,68.0,[],Spicer's Hitler::*0*1*||,1.0,1,2.0,0.0,342,bstrawbridge
0,"['carter page', 'spicer']","@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.",['spicer'],0.0,"['carter page', 'spicer']","[('carter page', 'g'), ('spicer', 'a')]",False,5.0,2,0.0043859649122807015,1.0,nan,,1.0,456.0,['carter page'],Carter Page::*2*3*||Spicer::*5*||,0.2857142857142857,0,2.0,1.0,102,yynn6001
1,"['cnn', 'spicer', 'time']",Im going to lose my mind cnn shows the spicer interview with wolf one more time.,['spicer'],0.0,"['cnn', 'spicer']","[('cnn', 'b'), ('spicer', 'a'), ('time', 'b')]",False,5.0,2,0.0043859649122807015,2.0,nan,,0.0,456.0,[],,0.2857142857142857,0,2.0,0.0,105,anuj_pant6
2,"['spicer', 'carter page']",Spicer owes Carter Page...,['spicer'],0.0,"['spicer', 'carter page']","[('spicer', 'a'), ('carter page', 'g')]",False,5.0,2,0.0043859649122807015,1.0,nan,,1.0,456.0,['carter page'],Carter Page::*2*3*||,0.2857142857142857,0,2.0,1.0,114,RockShrimp
3,"['spicer', 'looks']",Spicer: Oh man I should stop comparing things to historical figures this looks bad for me,['spicer'],0.0,['spicer'],"[('spicer', 'a'), ('looks', 'b')]",False,2.0,5,0.022935779816513763,1.0,nan,,0.0,218.0,[],,0.7142857142857143,0,1.0,0.0,277,AJVicens
4,"['sean spicer', 'carter page', 'russian agent']","Media: ""SEAN SPICER IS AN ANTI SEMITE HOLOCAUST DENIER AND CARTER PAGE IS A RUSSIAN AGENT!!!""",['sean spicer'],0.0,"['sean spicer', 'holocaust denier', 'carter page', 'russian', 'russian agent']","[('sean spicer', 'a'), ('carter page', 'g'), ('russian agent', 'b')]",False,1.0,6,0.0410958904109589,4.0,reeee,,0.25,146.0,['carter page'],nan,0.8571428571428571,1,5.0,1.0,331,atkhelo
5,"['spicer', 'hitler']","Spicer's Hitler ""analogy.""",['spicer'],0.0,"['spicer', 'hitler']","[('spicer', 'a'), ('hitler', 'b')]",False,1.0,6,0.0410958904109589,2.0,nan,,0.0,146.0,[],Spicer's Hitler::*0*1*||,0.8571428571428571,1,2.0,0.0,342,bstrawbridge
16,"['report', 'fisa court', 'fbi', 'look', 'comey', 'obama']","Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.",['look'],1.0,"['fisa', 'comey', 'obama']","[('report', 'b'), ('fisa court', 'b'), ('fbi', 'g'), ('look', 'a'), ('comey', 'g'), ('obama', 'g')]",False,0.0,7,0.08974358974358974,1.0,nan,,1.0,78.0,"['fbi', 'comey', 'obama']",FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,1.0,0,3.0,2.0,357,MorvantCheryl
23,"['look', 'carter page']","Look it's Carter Page, once again.",['look'],1.0,['carter page'],"[('look', 'a'), ('carter page', 'g')]",False,0.0,7,0.08974358974358974,0.0,Trumprussia,,1.0,78.0,['carter page'],nan,1.0,1,1.0,1.0,361,MarkCM07
31,"['spicer', 'hitler', 'fbi fisa', 'carter page', 'fisa']",@CNN Maybe Spicer's Hitler comment was used to distract from FBI FISA &amp; Carter Page..Get everyone talking about it to bury FISA lede.....,['spicer'],0.0,"['spicer', 'hitler', 'fbi', 'fisa', 'carter page']","[('spicer', 'a'), ('hitler', 'b'), ('fbi fisa', 'na'), ('carter page', 'g'), ('fisa', 'g')]",False,0.0,7,0.08974358974358974,3.0,nan,,0.6666666666666666,78.0,"['carter page', 'fisa']",Spicer's Hitler::*2*3*||FBI FISA::*10*11*||Carter Page Get::*13*14*15*||FISA::*22*||,1.0,0,5.0,2.0,365,heartofstylez
55,['msm'],WAKE UP MSM.,['msm'],0.0,['msm'],"[('msm', 'a')]",False,0.0,7,0.08974358974358974,1.0,nan,,0.0,78.0,[],nan,1.0,4,1.0,0.0,377,bonecho5
76,"['carter page', 'look']","Oh carter page, look what you have done?",['look'],1.0,['carter page'],"[('carter page', 'g'), ('look', 'a')]",False,0.0,7,0.08974358974358974,0.0,nan,,1.0,78.0,['carter page'],,1.0,0,1.0,1.0,395,huffingtonList
4,"['sean spicer', 'carter page', 'russian agent']","Media: ""SEAN SPICER IS AN ANTI SEMITE HOLOCAUST DENIER AND CARTER PAGE IS A RUSSIAN AGENT!!!""",['sean spicer'],0.0,"['sean spicer', 'holocaust denier', 'carter page', 'russian', 'russian agent']","[('sean spicer', 'a'), ('carter page', 'g'), ('russian agent', 'b')]",False,2.0,6,0.02586206896551724,4.0,reeee,,0.25,232.0,['carter page'],nan,0.75,1,5.0,1.0,331,atkhelo
6,"['report', 'fisa court', 'fbi', 'look', 'comey', 'obama']","Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.",['look'],1.0,"['fisa', 'comey', 'obama']","[('report', 'b'), ('fisa court', 'b'), ('fbi', 'g'), ('look', 'a'), ('comey', 'g'), ('obama', 'g')]",False,1.0,7,0.042682926829268296,1.0,nan,,1.0,164.0,"['fbi', 'comey', 'obama']",FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,0.875,0,3.0,2.0,357,MorvantCheryl
7,"['look', 'carter page']","Look it's Carter Page, once again.",['look'],1.0,['carter page'],"[('look', 'a'), ('carter page', 'g')]",False,1.0,7,0.042682926829268296,0.0,Trumprussia,,1.0,164.0,['carter page'],nan,0.875,1,1.0,1.0,361,MarkCM07
9,['msm'],WAKE UP MSM.,['msm'],0.0,['msm'],"[('msm', 'a')]",False,1.0,7,0.042682926829268296,1.0,nan,,0.0,164.0,[],nan,0.875,4,1.0,0.0,377,bonecho5
10,"['carter page', 'look']","Oh carter page, look what you have done?",['look'],1.0,['carter page'],"[('carter page', 'g'), ('look', 'a')]",False,1.0,7,0.042682926829268296,0.0,nan,,1.0,164.0,['carter page'],,0.875,0,1.0,1.0,395,huffingtonList
20,['sean spicer'],Sean Spicer/Holocaust,['sean spicer'],0.0,"['sean spicer', 'holocaust']","[('sean spicer', 'a')]",False,0.0,8,0.09302325581395349,2.0,KS04,,0.0,86.0,[],nan,1.0,0,2.0,0.0,405,SuchPolitics
96,['carter page fisa'],This week: Carter Page FISA warrant,['carter page fisa'],1.0,"['carter page', 'fisa']","[('carter page fisa', 'a')]",False,0.0,8,0.09302325581395349,2.0,nan,,0.0,86.0,[],Carter Page FISA::*2*3*4*||,1.0,3,2.0,0.0,449,sicsemp4ever
0,"['sean spicer', 'carter page', 'russian agent']","Media: ""SEAN SPICER IS AN ANTI SEMITE HOLOCAUST DENIER AND CARTER PAGE IS A RUSSIAN AGENT!!!""",['sean spicer'],0.0,"['sean spicer', 'holocaust denier', 'carter page', 'russian', 'russian agent']","[('sean spicer', 'a'), ('carter page', 'g'), ('russian agent', 'b')]",False,3.0,6,0.01904761904761905,4.0,reeee,,0.25,315.0,['carter page'],nan,0.6666666666666666,1,5.0,1.0,331,atkhelo
1,"['report', 'fisa court', 'fbi', 'look', 'comey', 'obama']","Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.",['look'],1.0,"['fisa', 'comey', 'obama']","[('report', 'b'), ('fisa court', 'b'), ('fbi', 'g'), ('look', 'a'), ('comey', 'g'), ('obama', 'g')]",False,2.0,7,0.02834008097165992,1.0,nan,,1.0,247.0,"['fbi', 'comey', 'obama']",FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,0.7777777777777778,0,3.0,2.0,357,MorvantCheryl
2,"['look', 'carter page']","Look it's Carter Page, once again.",['look'],1.0,['carter page'],"[('look', 'a'), ('carter page', 'g')]",False,2.0,7,0.02834008097165992,0.0,Trumprussia,,1.0,247.0,['carter page'],nan,0.7777777777777778,1,1.0,1.0,361,MarkCM07
3,['msm'],WAKE UP MSM.,['msm'],0.0,['msm'],"[('msm', 'a')]",False,2.0,7,0.02834008097165992,1.0,nan,,0.0,247.0,[],nan,0.7777777777777778,4,1.0,0.0,377,bonecho5
4,"['carter page', 'look']","Oh carter page, look what you have done?",['look'],1.0,['carter page'],"[('carter page', 'g'), ('look', 'a')]",False,2.0,7,0.02834008097165992,0.0,nan,,1.0,247.0,['carter page'],,0.7777777777777778,0,1.0,1.0,395,huffingtonList
5,['sean spicer'],Sean Spicer/Holocaust,['sean spicer'],0.0,"['sean spicer', 'holocaust']","[('sean spicer', 'a')]",False,1.0,8,0.047337278106508875,2.0,KS04,,0.0,169.0,[],nan,0.8888888888888888,0,2.0,0.0,405,SuchPolitics
6,['carter page fisa'],This week: Carter Page FISA warrant,['carter page fisa'],1.0,"['carter page', 'fisa']","[('carter page fisa', 'a')]",False,1.0,8,0.047337278106508875,2.0,nan,,0.0,169.0,[],Carter Page FISA::*2*3*4*||,0.8888888888888888,3,2.0,0.0,449,sicsemp4ever
10,"['james comey', 'carter page fisa']",James Comey should resign at @FBI unless he was lied to about Carter Page FISA warrant.,['carter page fisa'],1.0,"['james comey', 'carter page', 'fisa']","[('james comey', 'na'), ('carter page fisa', 'a')]",False,0.0,9,0.10843373493975904,3.0,nypost,,0.0,83.0,[],James Comey::*0*1*||Carter Page FISA::*12*13*14*||,1.0,0,3.0,0.0,452,SteveWCarlson
21,"['msm', 'carter page', 'moscow', 'gop']",Where was the MSM when Carter Page was jetting off to Moscow for marching orders a week before the GOP convention?,['msm'],0.0,"['msm', 'carter page', 'moscow', 'gop']","[('msm', 'a'), ('carter page', 'g'), ('moscow', 'g'), ('gop', 'g')]",False,0.0,9,0.10843373493975904,1.0,nan,,3.0,83.0,"['carter page', 'moscow', 'gop']",MSM::*3*||Carter Page::*5*6*||Moscow::*11*||GOP::*19*||,1.0,0,4.0,3.0,457,Picassokat
1,"['report', 'fisa court', 'fbi', 'look', 'comey', 'obama']","Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.","['look', 'obama']",1.0,"['fisa', 'comey', 'obama']","[('report', 'b'), ('fisa court', 'b'), ('fbi', 'g'), ('look', 'a'), ('comey', 'g'), ('obama', 'a')]",False,3.0,7,0.0220125786163522,2.0,nan,,0.3333333333333333,318.0,"['fbi', 'comey']",FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,0.7,0,3.0,1.0,357,MorvantCheryl
2,"['look', 'carter page']","Look it's Carter Page, once again.",['look'],1.0,['carter page'],"[('look', 'a'), ('carter page', 'g')]",False,3.0,7,0.0220125786163522,0.0,Trumprussia,,1.0,318.0,['carter page'],nan,0.7,1,1.0,1.0,361,MarkCM07
3,['msm'],WAKE UP MSM.,['msm'],0.0,['msm'],"[('msm', 'a')]",False,3.0,7,0.0220125786163522,1.0,nan,,0.0,318.0,[],nan,0.7,4,1.0,0.0,377,bonecho5
4,"['carter page', 'look']","Oh carter page, look what you have done?",['look'],1.0,['carter page'],"[('carter page', 'g'), ('look', 'a')]",False,3.0,7,0.0220125786163522,0.0,nan,,1.0,318.0,['carter page'],,0.7,0,1.0,1.0,395,huffingtonList
6,['carter page fisa'],This week: Carter Page FISA warrant,['carter page fisa'],1.0,"['carter page', 'fisa']","[('carter page fisa', 'a')]",False,2.0,8,0.03333333333333333,2.0,nan,,0.0,240.0,[],Carter Page FISA::*2*3*4*||,0.8,3,2.0,0.0,449,sicsemp4ever
7,"['james comey', 'carter page fisa']",James Comey should resign at @FBI unless he was lied to about Carter Page FISA warrant.,['carter page fisa'],1.0,"['james comey', 'carter page', 'fisa']","[('james comey', 'g'), ('carter page fisa', 'a')]",False,1.0,9,0.05844155844155844,2.0,nypost,,0.3333333333333333,154.0,['james comey'],James Comey::*0*1*||Carter Page FISA::*12*13*14*||,0.9,0,3.0,1.0,452,SteveWCarlson
8,"['msm', 'carter page', 'moscow', 'gop']",Where was the MSM when Carter Page was jetting off to Moscow for marching orders a week before the GOP convention?,['msm'],0.0,"['msm', 'carter page', 'moscow', 'gop']","[('msm', 'a'), ('carter page', 'g'), ('moscow', 'g'), ('gop', 'g')]",False,1.0,9,0.05844155844155844,1.0,nan,,3.0,154.0,"['carter page', 'moscow', 'gop']",MSM::*3*||Carter Page::*5*6*||Moscow::*11*||GOP::*19*||,0.9,0,4.0,3.0,457,Picassokat
28,"['obama', 'trump']",Obama was surveilling Trump advisors!,['obama'],0.0,"['obama', 'trump']","[('obama', 'a'), ('trump', 'g')]",False,0.0,10,0.14084507042253522,1.0,nan,,1.0,71.0,['trump'],Trump::*3*||,1.0,1,2.0,1.0,512,DoghouseDano
35,"['nunes', 'wh', 'real']",Makes it seem like Nunes and the WH colluded to hide the real reason the admin was surveilled.,['wh'],0.0,"['nunes', 'wh']","[('nunes', 'g'), ('wh', 'a'), ('real', 'b')]",False,0.0,10,0.14084507042253522,1.0,nan,,1.0,71.0,['nunes'],Nunes::*4*||WH::*7*||,1.0,0,2.0,1.0,518,wdrewcurtis
69,['look'],"@LouiseMensch Well, look at that....",['look'],1.0,[],"[('look', 'a')]",False,0.0,10,0.14084507042253522,0.0,nan,,0.0,71.0,[],,1.0,0,0.0,0.0,544,tvgirl222
0,"['report', 'fisa court', 'fbi', 'look', 'comey', 'obama']","Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.",['obama'],0.0,"['fisa', 'comey', 'obama']","[('report', 'b'), ('fisa court', 'b'), ('fbi', 'g'), ('look', 'b'), ('comey', 'g'), ('obama', 'a')]",False,4.0,7,0.017766497461928935,2.0,nan,,0.5,394.0,"['fbi', 'comey']",FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,0.6363636363636364,0,3.0,1.0,357,MorvantCheryl
2,['msm'],WAKE UP MSM.,['msm'],0.0,['msm'],"[('msm', 'a')]",False,4.0,7,0.017766497461928935,1.0,nan,,0.0,394.0,[],nan,0.6363636363636364,4,1.0,0.0,377,bonecho5
4,['carter page fisa'],This week: Carter Page FISA warrant,['carter page fisa'],1.0,"['carter page', 'fisa']","[('carter page fisa', 'a')]",False,3.0,8,0.02531645569620253,2.0,nan,,0.0,316.0,[],Carter Page FISA::*2*3*4*||,0.7272727272727273,3,2.0,0.0,449,sicsemp4ever
5,"['james comey', 'carter page fisa']",James Comey should resign at @FBI unless he was lied to about Carter Page FISA warrant.,['carter page fisa'],1.0,"['james comey', 'carter page', 'fisa']","[('james comey', 'g'), ('carter page fisa', 'a')]",False,2.0,9,0.0391304347826087,2.0,nypost,,0.3333333333333333,230.0,['james comey'],James Comey::*0*1*||Carter Page FISA::*12*13*14*||,0.8181818181818182,0,3.0,1.0,452,SteveWCarlson
6,"['msm', 'carter page', 'moscow', 'gop']",Where was the MSM when Carter Page was jetting off to Moscow for marching orders a week before the GOP convention?,['msm'],0.0,"['msm', 'carter page', 'moscow', 'gop']","[('msm', 'a'), ('carter page', 'g'), ('moscow', 'g'), ('gop', 'g')]",False,2.0,9,0.0391304347826087,1.0,nan,,3.0,230.0,"['carter page', 'moscow', 'gop']",MSM::*3*||Carter Page::*5*6*||Moscow::*11*||GOP::*19*||,0.8181818181818182,0,4.0,3.0,457,Picassokat
7,"['obama', 'trump']",Obama was surveilling Trump advisors!,['obama'],0.0,"['obama', 'trump']","[('obama', 'a'), ('trump', 'g')]",False,1.0,10,0.06802721088435375,1.0,nan,,1.0,147.0,['trump'],Trump::*3*||,0.9090909090909091,1,2.0,1.0,512,DoghouseDano
20,['msm'],"Corrupt pigs benefiting from 2-party MSM fawns selling BS to people who trust them, negotiating.",['msm'],0.0,['msm'],"[('msm', 'a')]",False,0.0,11,0.14473684210526316,1.0,nan,,0.0,76.0,[],2-party MSM::*4*5*||,1.0,1,1.0,0.0,556,phpress
44,['god'],Oh my fucking god!,['god'],1.0,[],"[('god', 'a')]",False,0.0,11,0.14473684210526316,0.0,nan,,0.0,76.0,[],,1.0,1,0.0,0.0,571,Fuck_You_Twitr_
0,"['report', 'fisa court', 'fbi', 'look', 'comey', 'obama']","Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.","['look', 'obama']",1.0,"['fisa', 'comey', 'obama']","[('report', 'b'), ('fisa court', 'b'), ('fbi', 'g'), ('look', 'a'), ('comey', 'g'), ('obama', 'a')]",False,5.0,7,0.014613778705636743,2.0,nan,,0.3333333333333333,479.0,"['fbi', 'comey']",FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,0.5833333333333334,0,3.0,1.0,357,MorvantCheryl
1,['msm'],WAKE UP MSM.,['msm'],0.0,['msm'],"[('msm', 'a')]",False,5.0,7,0.014613778705636743,1.0,nan,,0.0,479.0,[],nan,0.5833333333333334,4,1.0,0.0,377,bonecho5
2,['carter page fisa'],This week: Carter Page FISA warrant,['carter page fisa'],1.0,"['carter page', 'fisa']","[('carter page fisa', 'a')]",False,4.0,8,0.0199501246882793,2.0,nan,,0.0,401.0,[],Carter Page FISA::*2*3*4*||,0.6666666666666666,3,2.0,0.0,449,sicsemp4ever
3,"['james comey', 'carter page fisa']",James Comey should resign at @FBI unless he was lied to about Carter Page FISA warrant.,['carter page fisa'],1.0,"['james comey', 'carter page', 'fisa']","[('james comey', 'g'), ('carter page fisa', 'a')]",False,3.0,9,0.02857142857142857,2.0,nypost,,0.3333333333333333,315.0,['james comey'],James Comey::*0*1*||Carter Page FISA::*12*13*14*||,0.75,0,3.0,1.0,452,SteveWCarlson
4,"['msm', 'carter page', 'moscow', 'gop']",Where was the MSM when Carter Page was jetting off to Moscow for marching orders a week before the GOP convention?,['msm'],0.0,"['msm', 'carter page', 'moscow', 'gop']","[('msm', 'a'), ('carter page', 'g'), ('moscow', 'g'), ('gop', 'g')]",False,3.0,9,0.02857142857142857,1.0,nan,,3.0,315.0,"['carter page', 'moscow', 'gop']",MSM::*3*||Carter Page::*5*6*||Moscow::*11*||GOP::*19*||,0.75,0,4.0,3.0,457,Picassokat
5,"['obama', 'trump']",Obama was surveilling Trump advisors!,['obama'],0.0,"['obama', 'trump']","[('obama', 'a'), ('trump', 'g')]",False,2.0,10,0.04310344827586207,1.0,nan,,1.0,232.0,['trump'],Trump::*3*||,0.8333333333333334,1,2.0,1.0,512,DoghouseDano
6,"['party', 'msm']","Corrupt pigs benefiting from 2-party MSM fawns selling BS to people who trust them, negotiating.","['party', 'msm']",1.0,['msm'],"[('party', 'a'), ('msm', 'a')]",False,1.0,11,0.06832298136645963,1.0,nan,,0.0,161.0,[],2-party MSM::*4*5*||,0.9166666666666666,1,1.0,0.0,556,phpress
11,['party'],Party over country @RepKinzinger.,['party'],1.0,[],"[('party', 'a')]",False,0.0,12,0.1411764705882353,0.0,nan,,0.0,85.0,[],,1.0,1,0.0,0.0,601,LelandYachtClub
13,"['obama', 'american']",OBAMA HAS FAILED THE AMERICAN PEOPLE!,['obama'],0.0,"['obama', 'american people']","[('obama', 'a'), ('american', 'g')]",False,0.0,12,0.1411764705882353,2.0,nan,,0.0,85.0,['american'],nan,1.0,0,2.0,0.0,602,IrresistibleDJT
56,['party'],Today you put Party before constituents &amp; we do not forget.,['party'],1.0,[],"[('party', 'a')]",False,0.0,12,0.1411764705882353,0.0,AHCA,,0.0,85.0,[],Party::*3*||,1.0,2,0.0,0.0,624,TraciLN1164
68,['party'],Party affiliations can't come before human lives.,['party'],1.0,[],"[('party', 'a')]",False,0.0,12,0.1411764705882353,0.0,nan,,0.0,85.0,[],,1.0,2,0.0,0.0,632,PWJonesSr
0,"['report', 'fisa court', 'fbi', 'look', 'comey', 'obama']","Report: FISA court approved FBI's @Twitter, Look ≡ƒæÇ at Comey, Obama.","['look', 'obama']",1.0,"['fisa', 'comey', 'obama']","[('report', 'b'), ('fisa court', 'b'), ('fbi', 'g'), ('look', 'a'), ('comey', 'g'), ('obama', 'a')]",False,6.0,7,0.01232394366197183,2.0,nan,,0.3333333333333333,568.0,"['fbi', 'comey']",FISA::*1*||FBI's::*4*||Look::*6*||Comey::*9*||Obama::*10*||,0.5384615384615384,0,3.0,1.0,357,MorvantCheryl
1,['msm'],WAKE UP MSM.,['msm'],0.0,['msm'],"[('msm', 'a')]",False,6.0,7,0.01232394366197183,1.0,nan,,0.0,568.0,[],nan,0.5384615384615384,4,1.0,0.0,377,bonecho5
2,['carter page fisa'],This week: Carter Page FISA warrant,['carter page fisa'],1.0,"['carter page', 'fisa']","[('carter page fisa', 'a')]",False,5.0,8,0.0163265306122449,2.0,nan,,0.0,490.0,[],Carter Page FISA::*2*3*4*||,0.6153846153846154,3,2.0,0.0,449,sicsemp4ever
